Sector,English Score,Maths Score,ICSEA,Postcode,School Link,Overall Score,Total Enrolments,School Name
Non-government,3,4,1095,3149,"https://bettereducation.com.au/QuerySchool.aspx?Name=Avila College,Mount Waverley,VIC,3149&State=VIC",92,1049,"Avila College,Mount Waverley,VIC,3149"
Non-government,3,4,1087,3083,"https://bettereducation.com.au/QuerySchool.aspx?Name=Northside Christian College,Bundoora,VIC,3083&State=VIC",92,412,"Northside Christian College,Bundoora,VIC,3083"
Government,3,5,1089,3056,https://bettereducation.com.au/QuerySchool.aspx?Name=Brunswick Secondary College&State=VIC,92,992,Brunswick Secondary College
Non-government,4,4,1084,3204,"https://bettereducation.com.au/QuerySchool.aspx?Name=Our Lady of the Sacred Heart College,Bentleigh,VIC,3204&State=VIC",92,701,"Our Lady of the Sacred Heart College,Bentleigh,VIC,3204"
Non-government,4,4,1124,3186,"https://bettereducation.com.au/QuerySchool.aspx?Name=Star of the Sea College,Brighton,VIC,3186&State=VIC",92,1174,"Star of the Sea College,Brighton,VIC,3186"
Government,3,5,1119,3126,https://bettereducation.com.au/QuerySchool.aspx?Name=Camberwell High School&State=VIC,92,1209,Camberwell High School
Non-government,3,5,1106,3754,"https://bettereducation.com.au/QuerySchool.aspx?Name=Plenty Valley Christian College,Doreen,VIC,3754&State=VIC",92,740,"Plenty Valley Christian College,Doreen,VIC,3754"
Non-government,3,4,1088,3802,"https://bettereducation.com.au/QuerySchool.aspx?Name=Maranatha Christian School,Endeavour Hills,VIC,3802&State=VIC",92,669,"Maranatha Christian School,Endeavour Hills,VIC,3802"
Non-government,3,4,1094,3934,"https://bettereducation.com.au/QuerySchool.aspx?Name=Balcombe Grammar School,Mount Martha,VIC,3934&State=VIC",92,862,"Balcombe Grammar School,Mount Martha,VIC,3934"
Government,3,4,1095,3145,https://bettereducation.com.au/QuerySchool.aspx?Name=Glen Eira College&State=VIC,92,851,Glen Eira College
Non-government,3,4,1083,3064,"https://bettereducation.com.au/QuerySchool.aspx?Name=Hume Anglican Grammar,Mickleham,VIC,3064&State=VIC",92,1292,"Hume Anglican Grammar,Mickleham,VIC,3064"
Non-government,4,3,1084,3065,"https://bettereducation.com.au/QuerySchool.aspx?Name=Academy of Mary Immaculate,Fitzroy,VIC,3065&State=VIC",92,629,"Academy of Mary Immaculate,Fitzroy,VIC,3065"
Non-government,3,4,1000,3171,"https://bettereducation.com.au/QuerySchool.aspx?Name=Killester College,Springvale,VIC,3171&State=VIC",92,921,"Killester College,Springvale,VIC,3171"
Non-government,3,4,1089,3175,"https://bettereducation.com.au/QuerySchool.aspx?Name=Cornish College,Bangholme,VIC,3175&State=VIC",92,627,"Cornish College,Bangholme,VIC,3175"
Non-government,3,4,1048,3813,"https://bettereducation.com.au/QuerySchool.aspx?Name=St Thomas Aquinas College,Tynong,VIC,3813&State=VIC",92,272,"St Thomas Aquinas College,Tynong,VIC,3813"
Non-government,3,4,1084,3913,"https://bettereducation.com.au/QuerySchool.aspx?Name=Flinders Christian Community College,Tyabb,VIC,3913&State=VIC",91,1614,"Flinders Christian Community College,Tyabb,VIC,3913"
Government,3,4,1150,3054,https://bettereducation.com.au/QuerySchool.aspx?Name=Princes Hill Secondary College&State=VIC,91,888,Princes Hill Secondary College
Non-government,2,5,1095,3111,"https://bettereducation.com.au/QuerySchool.aspx?Name=Whitefriars College,Donvale,VIC,3111&State=VIC",91,1174,"Whitefriars College,Donvale,VIC,3111"
Government,2,5,984,3272,https://bettereducation.com.au/QuerySchool.aspx?Name=Mortlake College&State=VIC,91,224,Mortlake College
Government,3,4,1090,3102,https://bettereducation.com.au/QuerySchool.aspx?Name=Kew High School&State=VIC,91,1171,Kew High School
Non-government,3,3,1100,3084,"https://bettereducation.com.au/QuerySchool.aspx?Name=Our Lady of Mercy College,Heidelberg,VIC,3084&State=VIC",91,1193,"Our Lady of Mercy College,Heidelberg,VIC,3084"
Government,3,4,1000,3170,https://bettereducation.com.au/QuerySchool.aspx?Name=Wellington Secondary College&State=VIC,91,1858,Wellington Secondary College
Government,2,4,1061,3199,https://bettereducation.com.au/QuerySchool.aspx?Name=Frankston High School&State=VIC,91,1889,Frankston High School
Non-government,2,4,1078,3148,"https://bettereducation.com.au/QuerySchool.aspx?Name=Salesian College,Chadstone,VIC,3148&State=VIC",91,1060,"Salesian College,Chadstone,VIC,3148"
Non-government,3,4,1110,3911,"https://bettereducation.com.au/QuerySchool.aspx?Name=Woodleigh School,Langwarrin South,VIC,3911&State=VIC",91,923,"Woodleigh School,Langwarrin South,VIC,3911"
Non-government,3,4,1077,3222,"https://bettereducation.com.au/QuerySchool.aspx?Name=Christian College Bellarine,Drysdale,VIC,3222&State=VIC",91,454,"Christian College Bellarine,Drysdale,VIC,3222"
Non-government,3,4,1051,3810,"https://bettereducation.com.au/QuerySchool.aspx?Name=Beaconhills College,Pakenham,VIC,3810&State=VIC",91,2888,"Beaconhills College,Pakenham,VIC,3810"
Government,3,4,1087,3095,https://bettereducation.com.au/QuerySchool.aspx?Name=Eltham High School&State=VIC,91,1381,Eltham High School
Non-government,3,3,1140,3101,"https://bettereducation.com.au/QuerySchool.aspx?Name=Preshil,Kew,VIC,3101&State=VIC",91,256,"Preshil,Kew,VIC,3101"
Government,3,4,1081,3130,https://bettereducation.com.au/QuerySchool.aspx?Name=Blackburn High School&State=VIC,91,1321,Blackburn High School
Non-government,3,3,1095,3040,"https://bettereducation.com.au/QuerySchool.aspx?Name=St Columba's College,Essendon,VIC,3040&State=VIC",90,1001,"St Columba's College,Essendon,VIC,3040"
Non-government,2,4,1097,3036,"https://bettereducation.com.au/QuerySchool.aspx?Name=Overnewton Anglican Community College,Keilor,VIC,3036&State=VIC",90,2031,"Overnewton Anglican Community College,Keilor,VIC,3036"
Non-government,3,3,1102,3095,"https://bettereducation.com.au/QuerySchool.aspx?Name=Catholic Ladies College,Eltham,VIC,3095&State=VIC",90,778,"Catholic Ladies College,Eltham,VIC,3095"
Government,3,4,1082,3040,https://bettereducation.com.au/QuerySchool.aspx?Name=Buckley Park College&State=VIC,90,987,Buckley Park College
Non-government,3,3,1079,3051,"https://bettereducation.com.au/QuerySchool.aspx?Name=St Aloysius' College,North Melbourne,VIC,3051&State=VIC",90,453,"St Aloysius' College,North Melbourne,VIC,3051"
